# index, _pos
475,"array([ 13.41002029, -17.98111781])"
476,"array([  1.99214511, -42.80943555])"
477,"array([  1.42357957, -41.91130877])"
478,"array([  2.355916  , -41.80588179])"
479,"array([  1.64124195, -43.8009212 ])"
480,"array([  2.54353505, -43.69626651])"
481,"array([-0.22203065, -7.12963423])"
482,"array([ 0.89716853, -9.37310251])"
483,"array([-2.43086247, -6.76977079])"
484,"array([-0.85719441, -8.9466374 ])"
485,"array([-2.57592734, -7.48195753])"
486,"array([ -1.21961523, -13.58732273])"
487,"array([ -3.97810531, -15.71725263])"
488,"array([  2.75473925, -12.62507202])"
489,"array([ 9.08251908, -7.38008961])"
490,"array([ 7.67192777, -7.38523981])"
491,"array([ 6.12888957, -6.90169884])"
492,"array([ 8.11650745, -7.37458671])"
493,"array([ 9.05451621, -6.71760643])"
494,"array([ 7.3631808 , -6.67526707])"
495,"array([11.97428241, -4.31706775])"
496,"array([ 8.96222381, -4.86698451])"
497,"array([  9.9695674 , -10.42612188])"
498,"array([12.25191493, -4.80772103])"
499,"array([11.2812522 , -5.22437387])"
500,"array([ 9.88613665, -5.41606476])"
501,"array([-29.99781146,  -8.83531264])"
502,"array([-30.80545414,  -9.29409781])"
503,"array([-29.99462935,  -9.77179149])"
504,"array([11.87052821,  2.8318592 ])"
505,"array([11.84108405,  1.72167017])"
506,"array([11.09466141,  2.42874134])"
507,"array([10.00696932,  1.81793713])"
508,"array([11.94631622,  2.31852169])"
509,"array([11.81035402,  0.4766576 ])"
510,"array([10.42608153,  1.84456333])"
511,"array([11.29829288,  2.10326789])"
512,"array([10.7812923 ,  2.63647367])"
513,"array([10.37442093,  2.39577704])"
514,"array([-20.30933788,   0.94806866])"
515,"array([-20.11696287,   1.60953637])"
516,"array([-20.87563447,   1.34886769])"
517,"array([-20.12639762,   0.29722657])"
518,"array([-19.64072418,   0.9473371 ])"
519,"array([-20.87876302,   0.56048176])"
520,"array([27.39187169, 11.5981929 ])"
521,"array([27.76923634, 10.73574076])"
522,"array([13.51485548,  0.63656684])"
523,"array([ -6.5986886 , -18.76697097])"
524,"array([ -5.939024  , -16.60610041])"
525,"array([ -6.76530699, -20.37296779])"
526,"array([  9.97028799, -10.9888607 ])"
527,"array([11.36409956, -9.37547473])"
528,"array([ 10.02653718, -11.76426797])"
529,"array([ 17.08508432, -26.01572   ])"
530,"array([ 17.33179695, -25.65968331])"
531,"array([ 16.21988093, -25.44094213])"
532,"array([ 17.38592337, -25.19549897])"
533,"array([ 17.76290802, -25.75345629])"
534,"array([ 16.99859037, -25.31131532])"
535,"array([ 16.63430888, -25.13320579])"
536,"array([ 17.15014696, -26.86613547])"
537,"array([ 16.93548067, -25.68117774])"
538,"array([ 17.1425683 , -26.38714945])"
539,"array([ 16.7345897 , -26.54597503])"
540,"array([ 17.89832817, -25.26091225])"
541,"array([ 15.8677032 , -24.23829352])"
542,"array([ 16.56661985, -25.64256543])"
543,"array([ 16.52386719, -27.27546019])"
544,"array([ 18.35938599, -25.83303908])"
545,"array([ 16.29988852, -26.40954653])"
546,"array([ 18.03347472, -26.19224998])"
547,"array([ 17.51596906, -26.03899595])"
548,"array([ 16.15445181, -25.89057107])"
549,"array([ 17.91406573, -26.58703028])"
550,"array([ 16.6551529 , -26.04892284])"
551,"array([ 5.1240984 , -6.08076809])"
552,"array([ 5.79202659, -6.27037633])"
553,"array([ 6.89505554, -6.37797895])"
554,"array([-23.1583485 ,  11.68307809])"
555,"array([-23.87644313,  11.91316242])"
556,"array([-23.166305  ,  10.89205888])"
557,"array([-23.7363361 ,  10.76504653])"
558,"array([-22.42292451,  11.10197207])"
559,"array([-24.28547627,  11.2995993 ])"
560,"array([17.84210245,  2.96616396])"
561,"array([16.69118543,  1.31660049])"
562,"array([ 16.81932156, -20.43712473])"
563,"array([ 16.31186422, -21.53955528])"
564,"array([-26.76822946,  -5.84737776])"
565,"array([-25.81914271,  -5.64676642])"
566,"array([-26.05726627,  -6.61451259])"
567,"array([41.86418085, -5.79451816])"
568,"array([42.4050378 , -5.49900535])"
569,"array([41.28837953, -5.71766763])"
570,"array([41.95467873, -5.07076507])"
571,"array([42.51855459, -6.15286944])"
572,"array([41.30269972, -4.79376509])"
573,"array([41.52607616, -6.37941613])"
574,"array([42.10844333, -6.74158464])"
575,"array([2.08191751, 5.62315212])"
576,"array([1.38217685, 6.80435489])"
577,"array([2.00949918, 7.75657485])"
578,"array([1.91010061, 7.08621306])"
579,"array([1.2694391 , 7.63835847])"
580,"array([0.77767569, 7.05252952])"
581,"array([2.92181635, 7.30261903])"
582,"array([ 3.41498646, -1.64460928])"
583,"array([ 1.93133289, -0.19487599])"
584,"array([ 1.25222939, -0.04565579])"
585,"array([1.23033704, 0.51919737])"
586,"array([1.78088649, 0.56494264])"
587,"array([-0.52692609, 28.8901986 ])"
588,"array([ 0.34746498, 27.83587025])"
589,"array([ 0.36477966, 28.34477682])"
590,"array([-0.1944519 , 28.23806793])"
591,"array([-0.24273607, 27.7461751 ])"
592,"array([ 20.06442964, -16.1106748 ])"
593,"array([ 17.72620907, -17.13038344])"
594,"array([ 20.73988807, -17.36582174])"
595,"array([ 20.94229611, -18.16007998])"
596,"array([ 16.49003477, -15.53315663])"
597,"array([ 20.92611787, -16.58460494])"
598,"array([ 21.74995278, -17.45365624])"
599,"array([ 18.51939703, -15.91869493])"
600,"array([ 16.91512747, -17.44711448])"
601,"array([33.82330036, -3.10302074])"
602,"array([34.08957168, -3.99993025])"
603,"array([ -3.06663206, -10.1187277 ])"
604,"array([9.54203496, 2.61877952])"
605,"array([9.82894169, 1.42876443])"
606,"array([9.54188229, 1.99169655])"
607,"array([9.43549211, 1.54087542])"
608,"array([9.11697223, 1.84908198])"
609,"array([9.84494729, 2.25598608])"
610,"array([9.99646154, 2.70431403])"
611,"array([9.25789706, 2.33126815])"
612,"array([9.69402165, 0.16184287])"
613,"array([7.85136652, 1.41328394])"
614,"array([9.91682961, 3.56419316])"
615,"array([22.20761964, -0.46858394])"
616,"array([21.57392716, -1.09561344])"
617,"array([-17.43445126,  18.39723521])"
618,"array([-16.69638344,  17.6857296 ])"
619,"array([  7.23087457, -42.14644399])"
620,"array([  6.40346782, -42.2477095 ])"
621,"array([  6.49004058, -43.06362325])"
622,"array([  7.32463503, -42.9673301 ])"
623,"array([ -5.11570512, -16.70743011])"
624,"array([ -6.24787839, -17.65857641])"
625,"array([ -4.96823409, -17.46419621])"
626,"array([ -6.10604568, -14.15557422])"
627,"array([ -5.06338395, -15.95386109])"
628,"array([-26.37139236,  -7.63911876])"
629,"array([20.99801244, 30.98022071])"
630,"array([20.83727207, 30.09725166])"
631,"array([20.05839312, 30.86648237])"
632,"array([20.76338196, 32.15920918])"
633,"array([19.9641899 , 30.01954426])"
634,"array([22.04661729, 31.62214054])"
635,"array([21.77772624, 30.13913196])"
636,"array([-2.12622962,  5.28034388])"
637,"array([23.10071787, 26.25219953])"
638,"array([23.8004096 , 25.63169732])"
639,"array([ 8.7703364 , -7.72373796])"
640,"array([ 7.82662983, -7.74133385])"
641,"array([ 8.16380421, -8.33407195])"
642,"array([ 8.38564254, -8.50116141])"
643,"array([ 7.70587801, -7.9479745 ])"
644,"array([ 8.1286387 , -7.69894727])"
645,"array([ 8.83203388, -7.05011346])"
646,"array([ 8.56884493, -8.19715497])"
647,"array([ 7.95129819, -8.07952995])"
648,"array([ 10.49912918, -13.89769075])"
649,"array([ 11.17238644, -15.17691716])"
